id,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,id_2,vertex_i_1,vertex_p_3,vertex_p_4,distance_2,angle_2
1,0,0,0,0,0.00000000000000,267.74464947858422,1,0,0,0,0.00000000000000,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,1,0,1,0.00005763725317,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,2,0,2,0.00011527450634,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,3,0,3,0.00017291175951,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,4,0,4,0.00023054901268,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,5,0,5,0.00028818626586,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,6,0,6,0.00034582351903,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,7,0,7,0.00040346077220,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,8,0,8,0.00046109802537,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,9,0,9,0.00051873527854,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,10,0,10,0.00057637253171,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,11,0,11,0.00063400978488,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,12,0,12,0.00069164703805,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,13,0,13,0.00074928429123,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,14,0,14,0.00080692154440,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,15,0,15,0.00086455879757,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,16,0,16,0.00092219605074,174.98541297686666
1,0,0,0,0,0.00000000000000,267.74464947858422,1,17,0,17,0.00097983330390,174.98541297686666
1,0,0,0,0,0.00000000000000,267.74464947858422,1,18,0,18,0.00103747055707,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,19,0,19,0.00109510781025,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,20,0,20,0.00115274506342,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,21,0,21,0.00121038231659,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,22,0,22,0.00126801956976,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,23,0,23,0.00132565682293,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,24,0,24,0.00138329407610,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,25,0,25,0.00144093132927,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,26,0,26,0.00149856858244,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,27,0,27,0.00155620583561,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,28,0,28,0.00161384308879,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,29,0,29,0.00167148034196,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,30,0,30,0.00172911759513,174.98541297013904
1,0,0,0,0,0.00000000000000,267.74464947858422,1,31,0,31,0.00178675484830,174.98541297717534
1,0,0,0,0,0.00000000000000,267.74464947858422,1,32,0,32,0.00184439210147,174.98541297717534
