id,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,id_2,vertex_i_1,vertex_p_3,vertex_p_4,distance_2,angle_2
1,0,0,0,0,0.00000000000000,254.75637275740496,1,0,0,0,0.00000000000000,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,1,0,1,0.00006564712574,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,2,0,2,0.00013129425148,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,3,0,3,0.00019694137721,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,4,0,4,0.00026258850295,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,5,0,5,0.00032823562869,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,6,0,6,0.00039388275443,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,7,0,7,0.00045952988017,107.90546194171549
1,0,0,0,0,0.00000000000000,254.75637275740496,1,8,0,8,0.00052517700591,107.90546194171546
1,0,0,0,0,0.00000000000000,254.75637275740496,1,9,0,9,0.00059082413164,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,10,0,10,0.00065647125738,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,11,0,11,0.00072211838312,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,12,0,12,0.00078776550886,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,13,0,13,0.00085341263460,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,14,0,14,0.00091905976034,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,15,0,15,0.00098470688607,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,16,0,16,0.00105035401181,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,17,0,17,0.00111600113755,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,18,0,18,0.00118164826329,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,19,0,19,0.00124729538903,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,20,0,20,0.00131294251477,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,21,0,21,0.00137858964051,107.90546194171549
1,0,0,0,0,0.00000000000000,254.75637275740496,1,22,0,22,0.00144423676624,107.90546194171546
1,0,0,0,0,0.00000000000000,254.75637275740496,1,23,0,23,0.00150988389198,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,24,0,24,0.00157553101772,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,25,0,25,0.00164117814346,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,26,0,26,0.00170682526920,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,27,0,27,0.00177247239493,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,28,0,28,0.00183811952067,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,29,0,29,0.00190376664641,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,30,0,30,0.00196941377215,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,31,0,31,0.00203506089789,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,32,0,32,0.00210070802363,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,33,0,33,0.00216635514937,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,34,0,34,0.00223200227510,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,35,0,35,0.00229764940084,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,36,0,36,0.00236329652658,107.90546194171549
1,0,0,0,0,0.00000000000000,254.75637275740496,1,37,0,37,0.00242894365232,107.90546194466606
1,0,0,0,0,0.00000000000000,254.75637275740496,1,38,0,38,0.00249459077806,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,39,0,39,0.00256023790380,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,40,0,40,0.00262588502953,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,41,0,41,0.00269153215527,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,42,0,42,0.00275717928101,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,43,0,43,0.00282282640675,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,44,0,44,0.00288847353249,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,45,0,45,0.00295412065823,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,46,0,46,0.00301976778396,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,47,0,47,0.00308541490970,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,48,0,48,0.00315106203544,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,49,0,49,0.00321670916118,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,50,0,50,0.00328235628692,107.90546194466606
1,0,0,0,0,0.00000000000000,254.75637275740496,1,51,0,51,0.00334800341266,107.90546194466606
1,0,0,0,0,0.00000000000000,254.75637275740496,1,52,0,52,0.00341365053839,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,53,0,53,0.00347929766413,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,54,0,54,0.00354494478987,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,55,0,55,0.00361059191561,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,56,0,56,0.00367623904135,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,57,0,57,0.00374188616708,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,58,0,58,0.00380753329282,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,59,0,59,0.00387318041856,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,60,0,60,0.00393882754430,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,61,0,61,0.00400447467004,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,62,0,62,0.00407012179578,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,63,0,63,0.00413576892151,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,64,0,64,0.00420141604725,107.90546194466606
1,0,0,0,0,0.00000000000000,254.75637275740496,1,65,0,65,0.00426706317299,107.90546194171546
1,0,0,0,0,0.00000000000000,254.75637275740496,1,66,0,66,0.00433271029873,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,67,0,67,0.00439835742447,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,68,0,68,0.00446400455021,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,69,0,69,0.00452965167594,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,70,0,70,0.00459529880168,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,71,0,71,0.00466094592742,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,72,0,72,0.00472659305316,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,73,0,73,0.00479224017890,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,74,0,74,0.00485788730464,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,75,0,75,0.00492353443037,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,76,0,76,0.00498918155611,107.90546194159631
1,0,0,0,0,0.00000000000000,254.75637275740496,1,77,0,77,0.00505482868185,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,78,0,78,0.00512047580759,107.90546194454689
1,0,0,0,0,0.00000000000000,254.75637275740496,1,79,0,79,0.00518612293333,107.90546194171549
1,0,0,0,0,0.00000000000000,254.75637275740496,1,80,0,80,0.00525177005907,107.90546194171546
1,0,0,0,0,0.00000000000000,254.75637275740496,1,81,0,81,0.00531741718480,107.90546194159631
